basin_id,stations_num_swr_mean,stations_dens_swr_mean,stations_num_sp_mean,stations_dens_sp_mean,stations_num_t_mean,stations_dens_t_mean,stations_num_t_max,stations_dens_t_max,stations_num_ws_mean,stations_dens_ws_mean,stations_num_p_mean,stations_dens_p_mean,stations_num_t_min,stations_dens_t_min,stations_num_rh_mean,stations_dens_rh_mean
AT000045,9.0,0.004,4.0,0.002,15.0,0.007,16.0,0.007,15.0,0.007,13.0,0.006,16.0,0.007,8.0,0.004
AT000046,12.0,0.005,8.0,0.003,21.0,0.009,23.0,0.009,21.0,0.009,20.0,0.008,23.0,0.009,14.0,0.006
AT000047,3.0,0.053,3.0,0.053,3.0,0.053,3.0,0.053,3.0,0.053,2.0,0.035,3.0,0.053,3.0,0.053
AT000048,7.0,0.054,7.0,0.054,13.0,0.1,13.0,0.1,14.0,0.107,14.0,0.107,13.0,0.1,13.0,0.1
AT000049,3.0,0.031,3.0,0.031,5.0,0.051,5.0,0.051,8.0,0.081,7.0,0.071,5.0,0.051,5.0,0.051
AT000050,9.0,0.023,10.0,0.026,14.0,0.036,15.0,0.039,17.0,0.044,17.0,0.044,15.0,0.039,14.0,0.036
AT000051,12.0,0.016,13.0,0.018,23.0,0.032,24.0,0.033,26.0,0.036,25.0,0.034,24.0,0.033,23.0,0.032
AT000052,6.0,0.078,5.0,0.065,15.0,0.194,15.0,0.194,15.0,0.194,15.0,0.194,15.0,0.194,15.0,0.194
AT000053,30.0,0.008,25.0,0.007,57.0,0.015,59.0,0.015,56.0,0.015,53.0,0.014,59.0,0.015,50.0,0.013
AT000054,9.0,0.052,11.0,0.064,14.0,0.081,14.0,0.081,12.0,0.069,12.0,0.069,14.0,0.081,14.0,0.081
AT000055,3.0,0.262,4.0,0.35,4.0,0.35,4.0,0.35,3.0,0.262,3.0,0.262,4.0,0.35,4.0,0.35
AT000056,5.0,0.051,7.0,0.071,7.0,0.071,7.0,0.071,6.0,0.061,8.0,0.082,8.0,0.082,7.0,0.071
AT000057,5.0,0.069,7.0,0.096,7.0,0.096,7.0,0.096,6.0,0.083,8.0,0.11,8.0,0.11,7.0,0.096
AT000058,7.0,0.014,9.0,0.017,11.0,0.021,11.0,0.021,9.0,0.017,12.0,0.023,13.0,0.025,11.0,0.021
AT000059,4.0,0.311,4.0,0.311,7.0,0.545,7.0,0.545,6.0,0.467,6.0,0.467,7.0,0.545,7.0,0.545
AT000060,9.0,0.011,11.0,0.014,15.0,0.019,15.0,0.019,12.0,0.015,16.0,0.02,17.0,0.022,15.0,0.019
AT000061,4.0,0.444,4.0,0.444,6.0,0.667,6.0,0.667,5.0,0.555,6.0,0.667,6.0,0.667,6.0,0.667
AT000062,13.0,0.015,15.0,0.017,24.0,0.027,24.0,0.027,21.0,0.024,25.0,0.028,26.0,0.029,24.0,0.027
AT000063,34.0,0.007,31.0,0.006,65.0,0.013,67.0,0.013,62.0,0.012,64.0,0.013,69.0,0.014,58.0,0.011
AT000064,36.0,0.007,33.0,0.006,68.0,0.013,70.0,0.013,66.0,0.012,69.0,0.013,72.0,0.014,61.0,0.012
AT000065,3.0,0.015,3.0,0.015,5.0,0.024,5.0,0.024,4.0,0.02,5.0,0.024,5.0,0.024,5.0,0.024
AT000066,48.0,0.008,46.0,0.008,83.0,0.014,86.0,0.015,81.0,0.014,84.0,0.015,88.0,0.015,76.0,0.013
AT000067,4.0,0.185,4.0,0.185,5.0,0.231,6.0,0.278,6.0,0.278,9.0,0.416,6.0,0.278,5.0,0.231
AT000068,4.0,0.069,4.0,0.069,5.0,0.086,6.0,0.103,7.0,0.12,11.0,0.189,8.0,0.137,5.0,0.086
AT000069,4.0,0.037,4.0,0.037,5.0,0.046,6.0,0.055,6.0,0.055,8.0,0.073,5.0,0.046,5.0,0.046
AT000070,5.0,0.045,5.0,0.045,6.0,0.054,7.0,0.063,7.0,0.063,9.0,0.08,7.0,0.063,6.0,0.054
AT000071,5.0,0.015,5.0,0.015,6.0,0.018,7.0,0.02,8.0,0.023,12.0,0.035,9.0,0.026,6.0,0.018
AT000072,6.0,0.097,6.0,0.097,8.0,0.13,9.0,0.146,9.0,0.146,9.0,0.146,9.0,0.146,8.0,0.13
AT000073,1.0,0.008,1.0,0.008,1.0,0.008,1.0,0.008,1.0,0.008,2.0,0.016,2.0,0.016,1.0,0.008
AT000074,16.0,0.019,17.0,0.02,20.0,0.023,22.0,0.026,22.0,0.026,26.0,0.03,24.0,0.028,20.0,0.023
AT000075,6.0,0.081,6.0,0.081,8.0,0.108,9.0,0.121,8.0,0.108,8.0,0.108,9.0,0.121,8.0,0.108
AT000076,3.0,0.041,3.0,0.041,4.0,0.055,4.0,0.055,4.0,0.055,4.0,0.055,4.0,0.055,4.0,0.055
AT000077,60.0,0.008,60.0,0.008,102.0,0.014,106.0,0.015,104.0,0.014,111.0,0.015,110.0,0.015,95.0,0.013
AT000078,3.0,0.022,4.0,0.029,5.0,0.037,5.0,0.037,5.0,0.037,6.0,0.044,6.0,0.044,5.0,0.037
AT000079,4.0,0.167,4.0,0.167,5.0,0.208,6.0,0.25,5.0,0.208,7.0,0.292,5.0,0.208,5.0,0.208
AT000080,7.0,0.031,7.0,0.031,9.0,0.04,10.0,0.044,9.0,0.04,12.0,0.053,10.0,0.044,9.0,0.04
AT000081,4.0,0.031,5.0,0.039,6.0,0.046,6.0,0.046,6.0,0.046,6.0,0.046,6.0,0.046,6.0,0.046
AT000082,7.0,0.011,9.0,0.015,11.0,0.018,12.0,0.02,11.0,0.018,15.0,0.025,13.0,0.021,11.0,0.018
AT000083,3.0,0.188,5.0,0.314,6.0,0.377,6.0,0.377,6.0,0.377,6.0,0.377,6.0,0.377,6.0,0.377
AT000084,7.0,0.01,9.0,0.013,11.0,0.016,12.0,0.017,11.0,0.016,15.0,0.022,13.0,0.019,11.0,0.016
AT000085,2.0,0.014,4.0,0.028,6.0,0.043,6.0,0.043,5.0,0.036,6.0,0.043,6.0,0.043,6.0,0.043
AT000086,5.0,0.025,7.0,0.035,10.0,0.051,10.0,0.051,9.0,0.046,10.0,0.051,10.0,0.051,10.0,0.051
AT000087,12.0,0.011,15.0,0.014,21.0,0.019,22.0,0.02,22.0,0.02,27.0,0.025,23.0,0.021,21.0,0.019
AT000088,63.0,0.007,65.0,0.008,109.0,0.013,113.0,0.013,111.0,0.013,121.0,0.014,119.0,0.014,102.0,0.012
AT000089,5.0,0.335,7.0,0.469,10.0,0.671,10.0,0.671,12.0,0.805,12.0,0.805,10.0,0.671,10.0,0.671
AT000090,3.0,0.234,4.0,0.312,5.0,0.39,5.0,0.39,6.0,0.468,7.0,0.546,5.0,0.39,5.0,0.39
AT000091,7.0,0.026,8.0,0.029,14.0,0.051,14.0,0.051,17.0,0.062,28.0,0.103,14.0,0.051,14.0,0.051
AT000092,1.0,0.103,1.0,0.103,3.0,0.308,3.0,0.308,4.0,0.411,4.0,0.411,3.0,0.308,3.0,0.308
AT000093,4.0,0.049,4.0,0.049,6.0,0.073,6.0,0.073,5.0,0.061,6.0,0.073,6.0,0.073,6.0,0.073
AT000094,3.0,0.022,5.0,0.037,9.0,0.067,9.0,0.067,9.0,0.067,10.0,0.075,9.0,0.067,9.0,0.067
AT000095,9.0,0.028,12.0,0.037,16.0,0.05,17.0,0.053,16.0,0.05,17.0,0.053,17.0,0.053,16.0,0.05
AT000096,70.0,0.008,72.0,0.008,119.0,0.013,124.0,0.013,121.0,0.013,142.0,0.015,130.0,0.014,112.0,0.012
AT000097,2.0,0.094,3.0,0.141,5.0,0.236,6.0,0.283,5.0,0.236,5.0,0.236,6.0,0.283,5.0,0.236
AT000098,7.0,0.075,7.0,0.075,11.0,0.117,12.0,0.128,10.0,0.107,11.0,0.117,12.0,0.128,11.0,0.117
AT000099,4.0,0.117,4.0,0.117,6.0,0.176,7.0,0.205,6.0,0.176,9.0,0.264,7.0,0.205,6.0,0.176
AT000100,3.0,0.483,3.0,0.483,7.0,1.127,8.0,1.288,6.0,0.966,10.0,1.61,8.0,1.288,7.0,1.127
AT000101,2.0,0.504,1.0,0.252,3.0,0.755,3.0,0.755,3.0,0.755,9.0,2.266,3.0,0.755,3.0,0.755
AT000102,4.0,0.107,4.0,0.107,6.0,0.16,7.0,0.187,6.0,0.16,13.0,0.348,7.0,0.187,6.0,0.16
