provider_id,code_basins,provider_country,country_code,provider_name,license_redistribution,platform,num_stations,start_date,end_date,website,source_license,source_streamflow,source_gauges_infos,references,observations
DE_BW,DEBW,GERMANY,DE,Umweltinformationssystem (UIS) der LUBW Landesanstalt für Umwelt Baden-Württemberg,Redistribution allowed,Website,,,,https://udo.lubw.baden-wuerttemberg.de/public/,https://www.lubw.baden-wuerttemberg.de/umweltinformationssystem/nutzungsvereinbarung,https://udo.lubw.baden-wuerttemberg.de/public/processingChain?repositoryItemGlobalId=hydrologische_landespegel&conditionValuesSetHash=EAA0E0C&selector=hydrologische_landespegel&sourceOrderAsc=false&offset=0&limit=2147483647,https://udo.lubw.baden-wuerttemberg.de/public/processingChain?repositoryItemGlobalId=hydrologische_landespegel&conditionValuesSetHash=EAA0E0C&selector=hydrologische_landespegel&sourceOrderAsc=false&offset=0&limit=2147483647,"LUBW. State Agency for the Environment Baden-Württemberg – Hydrographic Service, Karlsruhe, Germany. https://udo.lubw.baden-wuerttemberg.de/public/ (last access: 12 Dec 2023).",
DE_BY,DEBY,GERMANY,DE,Bayerisches Landesamt fur Umwelt (GKD Bayern),-,Website,,,,https://www.gkd.bayern.de/en/,https://www.gkd.bayern.de/en/barrierefreiheit,https://www.gkd.bayern.de/en/rivers/discharge/tables,https://www.gkd.bayern.de/en/rivers/discharge/tables,"GKD. Bavarian State Office for the Environment – Hydrographic Service, Munich, Germany https://www.gkd.bayern.de/en/rivers/discharge/tables (last access: 12 Dec 2023).",
DE_HE,DEHE,GERMANY,DE,"Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)",-,Website,,,,https://www.hlnug.de,-,https://www.hlnug.de/static/pegel/wiskiweb3/webpublic/#/overview/Wasserstand?mode=table&filter=%7B%7D,https://www.hlnug.de/static/pegel/wiskiweb3/webpublic/#/overview/Wasserstand?mode=table&filter=%7B%7D,"HLNUG. Hessisches Landesamt für Naturschutz, Umwelt und Geologie. https://www.hlnug.de/static/pegel/wiskiweb3/webpublic/#/overview/Wasserstand?mode=table&filter=%7B%7D (last access: 12 Dec 2023).",
DE_NI,DENI,GERMANY,DE,"Niedersachsischer Landesbetrieb fur Wasserwirtschaft, Kusten- und Naturschutz (NLWKN)",DL-DE-BY,Website,,,,http://www.wasserdaten.niedersachsen.de,https://www.nlwkn.niedersachsen.de/opendata/nlwkn-daten-wichtige-informationen-zu-geodaten-und-anderen-datenbestanden-aus-unseren-aufgabenbereichen-196027.html,http://www.wasserdaten.niedersachsen.de/cadenza/pages/selector/index.xhtml;jsessionid=1E0F808EF58258C4EE5C777447D1ED4A,http://www.wasserdaten.niedersachsen.de/cadenza/pages/selector/index.xhtml;jsessionid=1E0F808EF58258C4EE5C777447D1ED4A,"NLWKN. Niedersachsischer Landesbetrieb fur Wasserwirtschaft, Kusten- und Naturschutz, http://www.wasserdaten.niedersachsen.de/cadenza/pages/selector/index.xhtml;jsessionid=1E0F808EF58258C4EE5C777447D1ED4A (last access: 12 Dec 2023).",
DE_NW,DENW,GERMANY,DE,"Ministerium fur Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen (ELWAS-WEB)",DL-DE-BY,Website,,,,https://www.elwasweb.nrw.de/elwas-web/index.xhtml,https://www.elwasweb.nrw.de/elwas-web/data-objekt;jsessionid=DADDD7196B89E206917D18793294E375;jsessionid=E81B48EDE64705AE83F88BD9692BF427?art=Pegel#,https://www.elwasweb.nrw.de/elwas-web/data-objekt;jsessionid=DADDD7196B89E206917D18793294E375;jsessionid=F76CC7CC8ECFBA5F518ECD241AF0BA78?art=Pegel,https://www.elwasweb.nrw.de/elwas-web/data-objekt;jsessionid=DADDD7196B89E206917D18793294E375;jsessionid=F76CC7CC8ECFBA5F518ECD241AF0BA78?art=Pegel,"ELWAS-WEB. Ministerium fur Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen, https://www.elwasweb.nrw.de/elwas-web/data-objekt;jsessionid=DADDD7196B89E206917D18793294E375;jsessionid=F76CC7CC8ECFBA5F518ECD241AF0BA78?art=Pegel (last access: 12 Dec 2023).",
DE_SH,DESH,GERMANY,DE,Schleswig-Holstein,DL-DE-BY and CC-BY,Website,,,,https://umweltportal.schleswig-holstein.de/portal/,https://umweltportal.schleswig-holstein.de/impressum,https://umweltportal.schleswig-holstein.de/kartendienste?lang=de&topic=thessd&bgLayer=sgx_geodatenzentrum_de_de_basemapde_web_raster_grau_DE_EPSG_25832_ADV&E=567583.34&N=5998716.15&zoom=4&layers=262b5c716ef5358fc1ac1e34afd45915,https://umweltportal.schleswig-holstein.de/kartendienste?lang=de&topic=thessd&bgLayer=sgx_geodatenzentrum_de_de_basemapde_web_raster_grau_DE_EPSG_25832_ADV&E=567583.34&N=5998716.15&zoom=4&layers=262b5c716ef5358fc1ac1e34afd45915,"Umweltportal. Schleswig-Holstein, Germany. https://umweltportal.schleswig-holstein.de/kartendienste?lang=de&topic=thessd&bgLayer=sgx_geodatenzentrum_de_de_basemapde_web_raster_grau_DE_EPSG_25832_ADV&E=567583.34&N=5998716.15&zoom=4&layers=262b5c716ef5358fc1ac1e34afd45915 (last access: 12 Dec 2023).",
DE_SN,DESN,GERMANY,DE,"Saxon State Office for Environment, Agriculture and Geology",Redistribution allowed,Website,,,,https://www.umwelt.sachsen.de,https://www.umwelt.sachsen.de/umwelt/infosysteme/lhwz/download/Nutzungsbedingungen.pdf,https://www.umwelt.sachsen.de/umwelt/infosysteme/ida/processingChain?conditionValuesSetHash=0A8BBED&selector=ROOT.Thema%20Wasser.Oberirdische%20Gew%C3%A4sser.Pegel.Wasserstand%20und%20Durchfluss.OWMN%3Aowmn_menge_tagesmittelwerte_v2.sel&sourceOrderAsc=false&columns=9dfa2224-c924-4328-9805-1d34cd748026&offset=0&limit=2147483647&executionConfirmed=false,https://www.umwelt.sachsen.de/umwelt/infosysteme/ida/processingChain?conditionValuesSetHash=0A8BBED&selector=ROOT.Thema%20Wasser.Oberirdische%20Gew%C3%A4sser.Pegel.Wasserstand%20und%20Durchfluss.OWMN%3Aowmn_menge_tagesmittelwerte_v2.sel&sourceOrderAsc=false&columns=9dfa2224-c924-4328-9805-1d34cd748026&offset=0&limit=2147483647&executionConfirmed=false,"ASOEAG. Saxon State Office for Environment, Agriculture and Geology: Datenportal fur Umweltdaten Sachsen (iDA), https://www.umwelt.sachsen.de/umwelt/infosysteme/ida/processingChain?conditionValuesSetHash=0A8BBED&selector=ROOT.Thema%20Wasser.Oberirdische%20Gew%C3%A4sser.Pegel.Wasserstand%20und%20Durchfluss.OWMN%3Aowmn_menge_tagesmittelwerte_v2.sel&sourceOrderAsc=false&columns=9dfa2224-c924-4328-9805-1d34cd748026&offset=0&limit=2147483647&executionConfirmed=false (last access: 12 Dec 2023).",
DE_ST,DEST,GERMANY,DE,Landesbetrieb fur Hochwasserschutz und Wasserwirtschaft Sachsen-Anhalt (LHW),Redistribution allowed,Website,,,,https://gld.lhw-sachsen-anhalt.de,https://gld.lhw-sachsen-anhalt.de,https://gld.lhw-sachsen-anhalt.de/,https://gld.lhw-sachsen-anhalt.de/,"LHW. Landesbetrieb fur Hochwasserschutz und Wasserwirtschaft Sachsen-Anhalt, https://gld.lhw-sachsen-anhalt.de/ (last access: 12 Dec 2023).",
DE_TH,DETH,GERMANY,DE,"Freistaat Thüringen: Landesamt für Umwelt, Bergbau und Naturschutz. Hochwasser Nachrichten Zentrale",-,Contact form,,,,https://hnz.thueringen.de,-,https://hnz.thueringen.de/hw-portal/datenladen.html,https://hnz.thueringen.de/hw-portal/datenladen.html,"LUBN. Landesamt für Umwelt, Bergbau und Naturschutz. Hochwasser Nachrichten Zentrale: Freistaat Thüringen. https://hnz.thueringen.de (data received: 13 Mar 2023).",
DE_BU,DEBU,GERMANY,DE,Bundesanstalt für Gewässerkunde,-,Contact form,,,,https://www.bafg.de/DE/Home/homepage_node.html,-,https://www.pegelonline.wsv.de/gast/karte/standard,https://www.pegelonline.wsv.de/gast/karte/standard,"BFG. Bundesanstalt für Gewässerkunde, Germany. https://www.bafg.de/DE/Home/homepage_node.html (data received: 13 Mar 2023).",
